,AGENCY,AGENCY NAME,CLASS TITLE,ETHNICITY,GENDER,STATUS,HRS PER WK,MONTHLY,ANNUAL
98,102,42,442,5,1,7,50.0,6560.0,78720.0
99,102,42,442,5,1,7,70.0,7500.0,90000.0
100,102,42,442,5,0,7,60.0,5200.0,62400.0
101,102,42,442,5,0,7,50.0,4550.0,54600.0
102,303,95,1005,3,1,0,40.0,4177.88,50134.56
103,303,95,51,3,1,0,40.0,3450.0,41400.0
104,303,95,958,5,1,0,40.0,6250.0,75000.0
105,303,95,277,1,1,0,40.0,7333.34,88000.08
106,303,95,1178,5,0,0,40.0,4166.67,50000.04
107,303,95,805,3,1,0,40.0,3607.5,43290.0
108,303,95,979,5,1,0,40.0,7500.0,90000.0
109,303,95,1006,5,0,0,40.0,4993.0,59916.0
110,303,95,397,5,0,0,40.0,8333.33,99999.96
111,303,95,853,3,0,0,40.0,6713.33,80559.95999999999
112,303,95,1018,5,1,0,40.0,7916.66,94999.92
113,303,95,1006,5,1,0,40.0,4400.0,52800.0
114,303,95,1022,5,1,0,40.0,6500.0,78000.0
115,303,95,1036,1,1,0,40.0,7083.34,85000.08
116,303,95,48,2,0,0,40.0,2700.0,32400.0
117,303,95,1016,2,0,0,40.0,4625.0,55500.0
118,303,95,691,4,1,0,40.0,3240.0,38880.0
119,303,95,855,5,1,0,40.0,6500.0,78000.0
120,303,95,399,3,1,0,40.0,10833.34,130000.08
121,303,95,853,3,0,0,40.0,5397.8,64773.6
122,303,95,1176,5,0,0,40.0,3000.0,36000.0
123,303,95,49,5,0,0,40.0,3333.34,40000.08
124,303,95,692,1,1,0,40.0,4089.68,49076.16
125,303,95,402,5,1,0,40.0,12848.38,154180.56
126,303,95,853,5,1,0,40.0,5670.17,68042.04000000001
127,303,95,1288,3,1,0,40.0,5833.33,69999.95999999999
128,303,95,858,5,1,0,40.0,9169.67,110036.04
129,303,95,853,5,0,0,40.0,5833.34,70000.08
130,303,95,853,5,1,0,40.0,5487.15,65845.8
131,303,95,853,3,1,0,40.0,5374.42,64493.04
132,303,95,401,2,1,0,40.0,11250.0,135000.0
133,303,95,1177,5,0,0,40.0,3233.34,38800.08
134,303,95,831,4,0,0,40.0,4200.0,50400.0
135,303,95,1023,5,1,0,40.0,7608.12,91297.44
136,303,95,102,5,1,0,40.0,7916.67,95000.04
137,303,95,397,5,1,0,40.0,9923.1,119077.2
138,809,76,325,5,0,1,20.0,1501.93,18023.16
139,809,76,324,5,0,1,18.0,1024.14,12289.68
140,809,76,324,5,0,3,40.0,1993.32,23919.84
141,809,76,19,5,0,0,40.0,4250.0,51000.0
142,809,76,809,3,1,0,40.0,4965.27,59583.240000000005
143,103,100,999,5,1,7,40.0,6792.27,81507.24
144,103,100,736,1,0,7,40.0,5471.6,65659.2
145,103,100,841,5,0,7,40.0,5816.67,69800.04
146,103,100,1242,5,0,7,40.0,10395.26,124743.12
147,103,100,1104,1,0,8,25.0,1770.83,21249.96
148,103,100,998,5,1,7,40.0,5833.34,70000.08
149,103,100,1193,3,0,7,40.0,5425.0,65100.0
150,103,100,746,3,1,7,40.0,4200.0,50400.0
151,103,100,859,5,1,7,40.0,8356.2,100274.4
152,103,100,488,5,1,7,40.0,14985.5,179826.0
153,103,100,746,5,1,7,40.0,4345.84,52150.08
154,103,100,749,5,0,7,40.0,4166.67,50000.04
155,103,100,986,2,1,7,40.0,3476.64,41719.68
156,103,100,374,5,0,7,40.0,11113.93,133367.16
157,103,100,574,5,1,7,40.0,4241.68,50900.16
158,103,100,1157,5,0,7,40.0,3541.67,42500.04
159,103,100,744,5,1,7,40.0,5366.84,64402.08
160,103,100,62,3,1,7,40.0,2833.34,34000.08
161,103,100,1024,5,1,9,40.0,7645.83,91749.96
162,103,100,1276,5,1,7,40.0,5871.68,70460.16
163,103,100,984,3,1,7,40.0,6266.57,75198.84
164,103,100,746,5,1,7,40.0,4697.95,56375.4
